X , Y 
220,131259
221,-34541
222,133431
223,50732
224,135011
225,-10532
226,115592
227,48385
228,101545
229,13058
230,141376
231,116242
232,-24508
233,102350
234,112721
235,147191
236,77527
237,152930
238,-43295
239,38154
240,46607
241,-8499
242,21754
243,76607
244,144595
245,139360
246,81056
247,18181
248,28874
249,-37479
250,124612
251,64171
252,144200
253,112310
254,55601
255,25507
256,-4103
257,-13230
258,17531
259,64584
260,-25050
261,-17159
262,17579
263,-30243
264,-11201
265,-7194
266,69116
267,120530
268,136370
269,83370
270,46697
271,118467
272,105609
273,172007
274,114055
275,147198
276,141631
277,114697
278,144762
279,72478
280,177192
281,85452
282,81837
283,17292
284,95800
285,87937
286,165614
287,13622
288,16004
289,74052
290,9765
291,-12742
292,69729
293,153812
294,69463
295,162758
296,115230
297,100234
298,69190
299,186570
300,85291
301,88731
302,65630
303,79591
304,113708
305,62602
306,81573
307,139586
308,74660
309,53268
310,189807
311,101373
312,3772
313,27115
314,3516
315,37529
316,82720
317,25584
318,99506
319,79319
320,41834
321,118169
322,60231
323,195653
324,156537
325,187851
326,116795
327,163894
328,155423
329,86548
330,50433
331,208607
332,191838
333,110357
334,71038
335,13539
336,54660
337,24796
338,146668
339,62416
340,170919
341,17213
342,205729
343,188501
344,30999
345,168882
346,160960
347,38585
348,167615
349,178422
350,194422
351,111175
352,143745
353,88895
354,65632
355,76703
356,93495
357,70898
358,144647
359,144159
360,112892
361,113146
362,47819
363,195026
364,170991
365,144796
366,59946
367,168941
368,101556
369,97466
370,60400
371,233787
372,69321
373,118862
374,84611
375,150071
376,215925
377,63151
378,180842
379,51308
380,117205
381,90814
382,170288
383,246342
384,72962
385,242596
386,102993
387,56754
388,179575
389,187951
390,220607
391,248033
392,185163
393,171575
394,155205
395,206337
396,250195
397,68891
398,82914
399,84858
400,127662
401,81446
402,190289
403,224687
404,185558
405,174515
406,117625
407,204098
408,95349
409,127305
410,170452
411,206154
412,205069
413,104342
414,72100
415,130100
416,143221
417,231870
418,153786
419,192460
420,76582
421,80928
422,120719
423,263133
424,86387
425,112773
426,196643
427,227470
428,120738
429,204052
430,206540
431,155315
432,172818
433,179742
434,97754
435,131764
436,141221
437,233711
438,242047
439,250934
440,209044
441,111207
442,162132
443,116683
444,280868
445,264070
446,131294
447,276251
448,166857
449,120545
450,263223
451,125687
452,161891
453,154073
454,166768
455,137649
456,201110
457,254340
458,123064
459,267363
460,296705
461,139019
462,234877
463,279050
464,126728
465,278005
466,293411
467,265323
468,119589
469,270214
470,208212
471,290695
472,247408
473,270820
474,178262
475,143824
476,314148
477,206563
478,259042
479,238289
480,260670
481,161044
482,193762
483,309141
484,301650
485,329791
486,241953
487,318500
488,190010
489,313847
490,251529
491,158280
492,227657
493,201420
494,248631
495,280066
496,261321
497,219429
498,286482
499,311543
500,285860
501,212058
502,285822
503,326854
504,194144
505,184987
506,322102
507,184975
508,215806
509,271276
510,285552
511,163451
512,212532
513,172659
514,199572
515,192632
516,318381
517,351044
518,312265
519,178635
520,362929
521,222246
522,321814
523,366187
524,225521
525,198396
526,216367
527,249305
528,214319
529,222413
530,209035
531,269675
532,279431
533,209765
534,278619
535,206020
536,380536
537,367530
538,266293
539,307780
540,363356
541,222268
542,339393
543,213648
544,307818
545,326158
546,251248
547,330738
548,208722
549,267723
550,218999
551,311631
552,312148
553,322993
554,245106
555,405322
556,248321
557,313345
558,375104
559,237068
560,264945
561,281778
562,219216
563,238786
564,396545
565,391045
566,398474
567,321548
568,278480
569,292348
570,324511
571,360465
572,268183
573,276775
574,251455
575,331346
576,322416
577,402904
578,401084
579,383102
580,411538
581,264117
582,277211
583,315068
584,371068
585,308530
586,394984
587,328110
588,391792
589,440530
590,254691
591,449158
592,349992
593,444123
594,422371
595,355505
596,424703
597,324721
598,294780
599,273946
600,318939
601,331306
602,344349
603,425077
604,340888
605,355122
606,295723
607,367898
608,269797
609,301013
610,392331
611,433513
612,436668
613,435814
614,323062
615,293832
616,354275
617,352878
618,451278
619,324386
620,285339
621,310313
622,309987
623,413384
624,344531
625,426592
626,356297
627,372164
628,387757
629,381810
630,331638
631,469531
632,395378
633,450722
634,485446
635,319500
636,462201
637,306556
638,332854
639,327439
640,465836
641,451786
642,421872
643,333226
644,443222
645,403919
646,406599
647,362881
648,374228
649,400588
650,442961
651,516748
652,370469
653,424182
654,371440
655,353352
656,436088
657,432522
658,514452
659,354192
660,514554
661,534722
662,532764
663,525319
664,422454
665,421823
666,368654
667,398842
668,420131
669,368837
670,457811
671,412570
672,550958
673,400410
674,373352
675,411202
676,457535
677,409087
678,381551
679,492420
680,430466
681,378542
682,402624
683,413079
684,520083
685,549001
686,493317
687,398865
688,477284
689,451412
690,541670
691,565968
692,491895
693,431850
694,527189
695,530678
696,474150
697,413126
698,503599
699,434674
700,499229
701,585166
702,487590
703,418714
704,552620
705,475965
706,458712
707,569057
708,425107
709,551989
710,477485
711,563312
712,606366
713,436339
714,514512
715,426936
716,441489
717,594204
718,608539
719,422272
720,540284
721,513121
722,426486
723,450010
724,546484
725,577914
726,522730
727,512325
728,589800
729,499937
730,603721
731,545416
732,618971
733,525078
734,553638
735,595005
736,631142
737,489484
738,640480
739,625094
740,598816
741,562230
742,470241
743,577998
744,493267
745,632880
746,636589
747,485682
748,596374
749,605536
750,543824
751,612249
752,625183
753,509450
754,490137
755,524826
756,478842
757,631036
758,596628
759,611994
760,524170
761,636253
762,602672
763,519902
764,500554
765,514525
766,605058
767,541913
768,585231
769,638342
770,648251
771,576786
772,580690
773,582780
774,653190
775,540749
776,564181
777,523496
778,518764
779,637591
780,687883
781,571431
782,592727
783,527213
784,589244
785,695647
786,717147
787,681458
788,616382
789,619174
790,686010
791,552219
792,606495
793,687803
794,691012
795,686762
796,540958
797,577348
798,571314
799,634041
800,579806
801,552524
802,698444
803,575279
804,644523
805,574826
806,624749
807,602153
808,605589
809,733781
810,706142
811,632722
812,659512
813,564865
814,679045
815,610187
816,731529
817,701695
818,644687
819,706608
820,685383
821,706152
822,662392
823,766506
824,741929
825,633350
826,755398
827,757548
828,668073
829,602282
830,680851
831,702013
832,745529
833,611997
834,795059
835,633774
836,710231
837,606927
838,761773
839,692275
840,624336
841,631562
842,751123
843,628536
844,691630
845,763377
846,636977
847,817309
848,816751
849,711911
850,704898
851,759292
852,753762
853,772404
854,760851
855,746629
856,829723
857,729422
858,715228
859,658231
860,819773
861,713936
862,808575
863,651226
864,698505
865,835155
866,683683
867,652654
868,685260
869,770865
870,852192
871,673930
872,813794
873,781964
874,729933
875,821988
876,694067
877,670948
878,866062
879,819443
880,872257
881,863919
882,785923
883,833079
884,848349
885,726084
886,756716
887,699656
888,762697
889,759978
890,828660
891,743623
892,817024
893,778613
894,785552
895,859090
896,747013
897,842924
898,810529
899,746256
900,828756
901,764607
902,722295
903,734958
904,759900
905,720313
906,783645
907,791345
908,746879
909,875439
910,871182
911,738312
912,755627
913,927133
914,847964
915,819035
916,902103
917,868404
918,859411
919,800488
920,787087
921,830809
922,838739
923,758497
924,938987
925,875811
926,846476
927,776431
928,855974
929,783443
930,962152
931,809491
932,838224
933,904786
934,908833
935,941708
936,809261
937,905078
938,826895
939,941849
940,862388
941,977815
942,944190
943,960304
944,885090
945,976465
946,848984
947,981977
948,939761
949,878195
950,889721
951,973960
952,946568
953,883548
954,927799
955,814019
956,885836
957,911357
958,979179
959,998066
960,906795
961,942138
962,1010853
963,877079
964,847578
965,970127
966,957520
967,1003597
968,864730
969,980726
970,871875
971,1003182
972,1039929
973,1045007
974,913521
975,882549
976,928077
977,871683
978,974014
979,963680
980,942719
981,876581
982,960089
983,930942
984,1042889
985,1016506
986,903060
987,952080
988,928625
989,895872
990,995411
991,1067442
992,1070486
993,1010288
994,993592
995,931997
996,922997
997,1028277
998,927594
999,948940
1000,995875
